eid	doctype	pubyear	source_id	volume	issue	page-start	page-end
58149343633	re	2009	24025.0	87	1	31	40
58149350463	ar	2008	19894.0	40	8	1529	1537
58149473444	ar	2008	25900.0	25	2	213	236
58149484938	ar	2009	15598.0	215	2	401	403
58149502545	ar	2009	20250.0	83	2	981	992
58149504647	cp	2008	4.700152641E9	19	6	1279	1297
58149512603	ar	2009	26788.0	84	1	1	24
58149513734	ar	2009	18777.0	15	2	168	185
58249088740	re	2008	14131.0	447		31	45
58249092774	re	2008	28190.0	25	4		
58249100182	re	2008	16321.0	16	6	557	571
58349118796	ar	2009	15537.0	19	2	108	114
58449091299	ar	2009	24577.0	55	1	31	36
58449117119	cp	2008	77392.0			241	248
58549090700	ar	2009	29520.0	12	1	43	53
58549120396	ar	2009	23833.0	39	2	95	101
58649097730	ar	2008	27862.0	42	1	52	67
58749114770	ar	2008	4.700152821E9	23	2	253	261
58849105007	ar	2009	1.2100157009E10	37	1	101	125
58849128622	ar	2009	25280.0	14	2	179	191
58849153221	ar	2009	16099.0	11	1	62	73
58849153297	ar	2008	4.700152506E9	9	1	21	46
59049093084	ar	2009	25053.0	11	1	50	58
59049099701	ar	2008	14062.0	15	6	1185	1189
59149084995	ar	2009	22560.0	74	2	403	417
59249093066	ar	2008	22636.0	9	2	52	72
59249096545	ar	2008	28852.0	39	9	8	10
59249099794	ar	2009	22916.0	47	2	125	135
59249101438	ar	2009	25786.0	17	3	990	1005
59349095458	ar	2009	21162.0	44	4	1113	1120
59349098891	ar	2009	17569.0	15	2	193	207
59449097003	ar	2009	28727.0	20	2	149	155
59549089583	ar	2009	4.700152855E9	19	1	12	27
59549097893	ar	2009	1.0600153309E10	4	1		
59649113957	ar	2009	14285.0	198	2	388	396
59749087384	ar	2008	14531.0	135	23	3881	3889
59849105307	ar	2009	15703.0	18	2	231	262
60049095429	ar	2008	19468.0	16	5	484	501
60249087198	ar	2009	1.1600154701E10	12	1	22	41
60249096370	ar	2009	28142.0	56	1	116	122
60349102438	ar	2009	23157.0	30	2	137	161
60449093971	ar	2009	20657.0	10	1	90	97
60449098524	ar	2009	4.000150503E9	40	1	14	22
60449102433	ar	2009	21782.0	203	1	23	32
60549102756	ar	2009	16318.0	56	1	111	121
60649086930	cp	2008	1.5800154708E10			153	158
60649087773	ar	2009	16284.0	14	3	248	260
60649088469	ar	2009	12402.0	33	1	119	146
60649119804	ar	2009	20594.0	76	4	594	613
60749089216	cp	2008	1.5900154705E10			392	395
60749113368	ar	2009	16765.0	178	2	276	283
60749116097	cp	2008	1.5900154702E10			307	317
60749129975	cp	2008	145228.0			1061	1067
60849091375	ar	2009	28673.0	35	2	95	120
60849094832	ar	2008	28204.0	39	12	535	544
60849098193	ar	2009	29593.0	48	1		
